;Africa Eme.;Africa Front.;Asia Des.;Asia Eme.;Asia Front.;Chile;Europa Des.;Europa Eme.;Europa Front.;Latam Eme.;Latam Front.;M. Oriente Eme.;M. Oriente Front.;N/A;Norteamerica;OceanÃ­a;apac_(ex_japan)_fi;australia_&_new_zealand;azerbaijan;cash/equiv;cash_&_forwards;emerging_market_fi;europe_eq;europe_fi;faroe_islands;honduras;mexice;middle_east_&_africa;north_america_fi;otros;peopleã¢â¬â¢s_republic_of_china;technology;tãâ¼rkiye;uzbekistan;world
LP68464637;0,0;0,0;0,0;0,0;0,0;0,0;98,63000000000001;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,37;0,0;0,0;0,0;0,0;0,0
LP68464642;0,0;0,0;0,0;0,0;0,0;0,0;89,38;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;10,62;0,0;0,0;0,0;0,0;0,0
LP68464650;0,0;0,0;0,2;0,0;0,0;0,0;2,9000000000000004;0,0;0,0;0,0;0,0;0,0;0,0;0,0;96,8;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,1;0,0;0,0;0,0;0,0;0,0
LP68467898;0,0;0,0;0,0;0,0;0,0;0,0;11,11;0,0;0,0;0,0;0,0;0,0;0,0;0,0;88,89;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
LP68469110;0,0;0,0;99,98;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,01;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,01;0,0;0,0;0,0;0,0;0,0
LP68471515;0,0;0,0;5,75;0,0;0,0;0,0;39,06;0,0;0,0;0,0;0,0;0,0;0,0;0,0;48,44;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;6,75;0,0;0,0;0,0;0,0;0,0
LP68472713;0,0;0,0;2,73;3,37;0,0;0,0;22,029999999999998;0,0;0,0;0,0;0,0;0,0;0,0;0,0;67,55;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;4,32;0,0;0,0;0,0;0,0;0,0
LP68474377;0,0;0,4;0,4;0,0;0,0;0,0;3,5;0,0;0,0;0,0;0,8;0,0;0,0;0,0;93,2;0,4;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,3;0,0;0,0;0,0;0,0;0,0
LP68475947;0,0;0,0;2,9;2,51;0,0;55,75;0,1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;6,47;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;32,27;0,0;0,0;0,0;0,0;0,0
LP68477738;0,0;0,0;0,0;0,0;0,0;0,0;3,46;0,0;0,0;0,0;0,0;0,0;0,0;0,0;94,67;1,67;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,2;0,0;0,0;0,0;0,0;0,0
LP68478349;0,0;0,0;0,09;0,0;0,0;0,0;2,19;0,0;0,0;0,0;0,0;0,0;0,0;0,0;97,12;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,6;0,0;0,0;0,0;0,0;0,0
LP68478481;0,0;0,0;0,0;1,8387;0,0;0,0;5,3662;0,0;0,0;0,0;0,0;0,0;0,0;0,0;92,79509999999999;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
LP68478562;0,0;0,0;0,0;0,0;0,0;0,0;85,21000000000001;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;14,79;0,0;0,0;0,0;0,0;0,0
LP68479977;0,0;0,0;99,72;0,0;0,0;0,0;0,04;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,06;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,18;0,0;0,0;0,0;0,0;0,0
LP68479985;0,0;0,0;3,49;0,0;0,0;0,0;2,1999999999999997;0,0;0,0;0,0;0,0;0,0;0,0;0,0;94,08;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,23;0,0;0,0;0,0;0,0;0,0
LP68480016;0,0;0,0;0,0;0,0;0,0;0,0;40,7;0,0;0,0;3,1;0,0;0,0;0,0;0,0;42,2;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;14,0;0,0;0,0;0,0;0,0;0,0
LP68480027;0,0;0,0;0,0;0,0;0,0;0,0;40,7;0,0;0,0;3,1;0,0;0,0;0,0;0,0;42,2;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;14,0;0,0;0,0;0,0;0,0;0,0
LP68483519;0,0;0,0;1,1;6,010000000000001;0,0;47,26;2,77;0,0;0,0;2,66;0,0;0,0;0,0;0,0;24,63;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;15,57;0,0;0,0;0,0;0,0;0,0
LP68483675;0,0;0,0;1,36;5,42;0,0;29,99;3,6100000000000003;0,0;0,0;1,07;0,0;0,0;0,0;0,0;23,47;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;35,08;0,0;0,0;0,0;0,0;0,0
LP68484678;0,0;0,0;24,9;64,80000000000001;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;10,3;0,0;0,0;0,0;0,0;0,0
LP68484679;0,0;0,0;24,9;64,80000000000001;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;10,3;0,0;0,0;0,0;0,0;0,0
LP68485320;0,0;0,0;0,0;99,7203;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,2797;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
LP68486684;0,0;0,0;15,03;0,0;0,0;0,0;10,04;0,0;0,0;0,0;0,0;0,0;0,0;0,0;66,38;4,74;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;3,81;0,0;0,0;0,0;0,0;0,0
LP68487046;0,0;0,0;0,47;1,83;0,0;50,4;2,25;0,0;0,0;0,0;0,0;0,0;0,0;0,0;10,34;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;34,71;0,0;0,0;0,0;0,0;0,0
LP68487652^J19;0,0;0,0;0,0;98,82;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,18;0,0;0,0;0,0;0,0;0,0
LP68488014;0,0;0,0;10,03;3,46;0,0;0,0;14,64;0,0;0,0;0,0;0,0;0,0;0,0;0,0;71,87;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
LP68488016;0,0;0,0;10,03;3,46;0,0;0,0;14,64;0,0;0,0;0,0;0,0;0,0;0,0;0,0;71,87;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
LP68488175;0,0;0,0;99,16;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,84;0,0;0,0;0,0;0,0;0,0
LP68488377;0,0;0,0;5,61;0,0;0,0;0,0;57,96000000000001;0,0;0,0;0,0;0,0;0,0;0,0;0,0;26,13;4,87;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;5,43;0,0;0,0;0,0;0,0;0,0
LP68488751;0,0;0,0;4,16;9,88;0,0;25,04;4,5;0,0;0,0;1,88;0,0;0,0;0,0;0,0;38,03;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;16,51;0,0;0,0;0,0;0,0;0,0
LP68491097;0,0;0,0;0,0;3,8;0,0;0,0;1,74;0,0;0,0;0,0;0,0;0,0;0,0;0,0;92,77;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,69;0,0;0,0;0,0;0,0;0,0
LP68492158;0,0;0,0;0,0;0,0;0,0;0,0;82,69999999999999;2,83;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;14,47;0,0;0,0;0,0;0,0;0,0
LP68492688;0,0;0,0;2,3656;1,2405;0,0;0,0;3,2599;0,0;0,0;0,0;0,0;0,0;0,0;0,0;92,5474;0,5866;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
LP68500005;0,0;0,0;0,0;99,7203;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,2797;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
LP68504150;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;70,8;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;29,2;0,0;0,0;0,0;0,0;0,0
LP68508362;0,0;0,0;99,72;0,0;0,0;0,0;0,04;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,06;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,18;0,0;0,0;0,0;0,0;0,0
LP68508401;0,0;0,0;0,0;0,0;0,0;0,0;40,7;0,0;0,0;3,1;0,0;0,0;0,0;0,0;42,2;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;14,0;0,0;0,0;0,0;0,0;0,0
LP68508418;0,0;0,0;8,41;17,26;0,0;0,0;28,89;0,0;0,0;0,0;0,0;0,0;0,0;0,0;36,19;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;9,25;0,0;0,0;0,0;0,0;0,0
LP68508918;0,0;0,0;11,740000000000002;0,0;0,0;0,0;10,05;0,0;1,85;4,7;0,0;0,0;0,0;0,0;63,82;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;7,84;0,0;0,0;0,0;0,0;0,0
LP68508940;0,0;0,0;20,360000000000003;4,67;0,0;0,0;5,15;0,0;0,0;0,0;2,44;0,0;0,0;0,0;56,07;2,16;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;9,15;0,0;0,0;0,0;0,0;0,0
LP68508941;0,0;0,0;20,360000000000003;4,67;0,0;0,0;5,15;0,0;0,0;0,0;2,44;0,0;0,0;0,0;56,07;2,16;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;9,15;0,0;0,0;0,0;0,0;0,0
LP68509308;0,0;0,0;3,0997;0,0;0,0;0,0;2,3298;0,0;0,0;0,0;0,0;0,0;0,0;0,0;92,94069999999999;1,6298;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
LP68510837;0,0;0,0;0,0;0,0;0,0;0,0;9,99;0,0;0,0;0,0;0,0;0,0;0,0;0,0;89,77;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,24;0,0;0,0;0,0;0,0;0,0
LP68511638;0,0;0,0;99,43;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,57;0,0;0,0;0,0;0,0;0,0
LP68515189;0,0;0,0;0,0;0,0;0,0;0,0;1,14;0,0;0,0;97,17;0,0;0,0;0,0;0,0;1,69;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
LP68515424;0,0;0,0;2,82;0,0;0,0;0,0;17,310000000000002;0,0;0,0;0,0;0,0;0,0;0,0;0,0;70,49000000000001;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;9,38;0,0;0,0;0,0;0,0;0,0
LP68515507;0,0;0,0;1,76;0,0;0,0;0,0;14,149999999999999;0,0;0,0;0,0;5,25;0,0;0,0;0,0;78,82000000000001;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,02;0,0;0,0;0,0;0,0;0,0
LP68515914;4,16;0,0;18,37;57,32;0,0;0,0;0,0;0,0;0,0;12,1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;8,05;0,0;0,0;0,0;0,0;0,0
LP68515922;0,0;0,0;0,94;2,02;0,0;91,01;0,4;0,0;0,0;0,0;0,0;0,0;0,0;0,0;3,62;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;2,01;0,0;0,0;0,0;0,0;0,0
LP68517990;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;71,32;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;28,68;0,0;0,0;0,0;0,0;0,0
LP68523232;0,0;0,0;4,06;0,0;0,0;0,0;11,36;0,0;0,0;0,0;0,0;0,0;0,0;0,0;84,57;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,01;0,0;0,0;0,0;0,0;0,0
LP68523802;0,0;0,0;0,0;0,0;0,0;5,18;3,97;0,0;0,0;84,66;0,84;0,0;0,0;0,0;3,1799999999999997;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;2,17;0,0;0,0;0,0;0,0;0,0
LP68523803;0,0;0,0;0,0;0,0;0,0;5,18;3,97;0,0;0,0;84,66;0,84;0,0;0,0;0,0;3,1799999999999997;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;2,17;0,0;0,0;0,0;0,0;0,0
LP68525128;0,0;0,0;0,0;4,2767;0,0;0,0;18,7336;0,0;0,0;0,0;2,4355;0,0;0,0;0,0;74,1353;0,4189;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
LP68525363;0,0;0,0;7,06;10,75;0,0;0,0;11,790000000000001;0,0;0,0;0,0;1,53;0,0;0,0;0,0;63,79;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;5,08;0,0;0,0;0,0;0,0;0,0
LP68526384;0,0;0,0;1,68;0,0;0,0;0,0;34,78;0,0;0,0;0,0;0,0;0,0;0,0;0,0;34,989999999999995;5,04;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;23,51;0,0;0,0;0,0;0,0;0,0
LP68526387;0,0;0,0;1,68;0,0;0,0;0,0;34,78;0,0;0,0;0,0;0,0;0,0;0,0;0,0;34,989999999999995;5,04;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;23,51;0,0;0,0;0,0;0,0;0,0
LP68526388;0,0;0,0;1,68;0,0;0,0;0,0;34,78;0,0;0,0;0,0;0,0;0,0;0,0;0,0;34,989999999999995;5,04;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;23,51;0,0;0,0;0,0;0,0;0,0
LP68526392;0,0;0,0;1,68;0,0;0,0;0,0;34,78;0,0;0,0;0,0;0,0;0,0;0,0;0,0;34,989999999999995;5,04;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;23,51;0,0;0,0;0,0;0,0;0,0
LP68526393;0,0;0,0;1,68;0,0;0,0;0,0;34,78;0,0;0,0;0,0;0,0;0,0;0,0;0,0;34,989999999999995;5,04;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;23,51;0,0;0,0;0,0;0,0;0,0
LP68526430;0,0;0,0;0,0;0,0;0,0;0,0;59,339999999999996;0,0;0,0;0,0;0,0;0,0;0,0;0,0;3,2;3,62;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;33,84;0,0;0,0;0,0;0,0;0,0
LP68526479;0,0;0,0;0,0;9,739999999999998;0,0;0,0;16,47;0,0;0,0;3,57;0,0;0,0;0,0;0,0;68,80000000000001;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,42;0,0;0,0;0,0;0,0;0,0
LP68526486;0,0;0,0;0,0;9,739999999999998;0,0;0,0;16,47;0,0;0,0;3,57;0,0;0,0;0,0;0,0;68,80000000000001;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,42;0,0;0,0;0,0;0,0;0,0
LP68527223;0,0;0,0;1,68;0,0;0,0;0,0;34,78;0,0;0,0;0,0;0,0;0,0;0,0;0,0;34,989999999999995;5,04;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;23,51;0,0;0,0;0,0;0,0;0,0
LP68531687;0,0;0,0;0,0;0,0;0,0;5,18;3,97;0,0;0,0;84,66;0,84;0,0;0,0;0,0;3,1799999999999997;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;2,17;0,0;0,0;0,0;0,0;0,0
LP68531688;0,0;0,0;0,0;0,0;0,0;5,18;3,97;0,0;0,0;84,66;0,84;0,0;0,0;0,0;3,1799999999999997;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;2,17;0,0;0,0;0,0;0,0;0,0
LP68533837;0,0;0,0;0,0;0,0;0,0;0,0;15,56;0,0;0,0;0,0;0,0;0,0;0,0;0,0;62,83;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;8,29;13,32;0,0;0,0;0,0;0,0
LP68534026;0,0;3,1;0,0;17,7;4,5;5,6;0,0;0,0;0,0;24,2;0,0;3,1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;41,8;0,0;0,0;0,0;0,0;0,0
LP68535269;0,0;0,0;0,89;0,47;0,0;0,0;30,369999999999997;0,0;0,0;0,0;0,0;0,0;0,0;0,0;63,730000000000004;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;4,54;0,0;0,0;0,0;0,0;0,0
LP68535649;0,0;0,0;11,96;4,04;0,0;0,0;27,37;0,0;0,0;0,0;0,0;0,0;0,0;0,0;54,33;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;2,3;0,0;0,0;0,0;0,0;0,0
LP68535822;0,0;0,0;6,98;3,09;0,0;0,0;37,44;0,0;0,0;0,0;0,0;0,0;0,0;0,0;48,760000000000005;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;3,73;0,0;0,0;0,0;0,0;0,0
LP68537242;0,0;0,0;0,25;0,0;0,0;0,0;3,23;0,0;0,0;0,0;0,0;0,0;0,0;0,0;92,79;0,66;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;3,07;0,0;0,0;0,0;0,0;0,0
LP68537560;0,0;0,0;0,0;27,09;0,0;0,0;33,910000000000004;0,0;0,0;0,0;0,0;0,0;0,0;0,0;29,52;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;9,48;0,0;0,0;0,0;0,0;0,0
LP68537561;0,0;0,0;0,0;27,09;0,0;0,0;33,910000000000004;0,0;0,0;0,0;0,0;0,0;0,0;0,0;29,52;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;9,48;0,0;0,0;0,0;0,0;0,0
LP68537729;0,0;0,0;0,0;0,0;0,0;0,0;17,51;0,0;0,0;1,56;0,0;0,0;0,0;0,0;67,78;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;13,15;0,0;0,0;0,0;0,0;0,0
LP68538200;0,0;0,0;5,6;11,18;0,0;0,0;19,46;0,0;0,0;0,0;0,0;0,0;0,0;0,0;60,58;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;3,18;0,0;0,0;0,0;0,0;0,0
LP68540108;0,0;0,0;16,33;0,0;0,0;0,0;22,310000000000002;0,0;0,0;0,0;0,0;0,0;0,0;0,0;55,62;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;5,74;0,0;0,0;0,0;0,0;0,0
LP68540181;0,0;0,0;0,7;0,0;0,0;0,0;6,21;0,0;0,0;0,0;0,0;0,0;0,0;0,0;64,58;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;28,51;0,0;0,0;0,0;0,0;0,0
LP68541462;0,0;0,0;0,0;23,3457;0,0;0,0;1,1646;19,861;0,0;31,443399999999997;0,0;1,8146;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;22,3707;0,0;0,0;0,0;0,0;0,0
LP68541463;0,0;0,0;0,0;23,3457;0,0;0,0;1,1646;19,861;0,0;31,443399999999997;0,0;1,8146;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;22,3707;0,0;0,0;0,0;0,0;0,0
LP68541722;0,76;1,47;1,26;0,0;0,0;0,0;4,32;0,0;0,0;0,0;0,0;0,0;0,0;0,0;78,72999999999999;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;13,46;0,0;0,0;0,0;0,0;0,0
LP68541751;0,0;0,0;2,63;0,0;0,0;0,0;5,28;0,0;0,0;0,0;0,0;0,0;0,0;0,0;86,65;0,9;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;4,54;0,0;0,0;0,0;0,0;0,0
LP68541752;0,0;0,0;2,63;0,0;0,0;0,0;5,28;0,0;0,0;0,0;0,0;0,0;0,0;0,0;86,65;0,9;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;4,54;0,0;0,0;0,0;0,0;0,0
LP68542529;0,0;0,0;0,7;0,0;0,0;0,0;6,21;0,0;0,0;0,0;0,0;0,0;0,0;0,0;64,58;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;28,51;0,0;0,0;0,0;0,0;0,0
LP68542531;0,0;0,0;0,7;0,0;0,0;0,0;6,21;0,0;0,0;0,0;0,0;0,0;0,0;0,0;64,58;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;28,51;0,0;0,0;0,0;0,0;0,0
LP68542561;0,0;0,0;0,0;0,0;0,0;0,0;88,58000000000003;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;11,42;0,0;0,0;0,0;0,0;0,0
LP68544359;0,0;0,0;0,0;0,0;0,0;99,99;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,01;0,0;0,0;0,0;0,0;0,0
LP68546492;0,0;0,0;0,0;0,0;0,0;0,0;5,049;0,0;0,0;0,0;0,0;0,0;0,0;0,0;94,951;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
LP68546877;0,0;0,0;0,0;0,0;0,0;0,0;86,17;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;13,83;0,0;0,0;0,0;0,0;0,0
LP68548411;0,0;0,0;0,09;0,0;0,0;0,0;2,2;0,0;0,0;0,0;0,0;0,0;0,0;0,0;97,63;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,08;0,0;0,0;0,0;0,0;0,0
LP68551799;0,0;0,0;5,09;1,59;0,0;0,0;19,810000000000002;0,0;0,0;0,0;0,0;0,0;0,0;0,0;61,22;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;12,29;0,0;0,0;0,0;0,0;0,0
LP68552448;0,0;0,0;100,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
