;Africa Eme.;Africa Front.;Asia Des.;Asia Eme.;Asia Front.;Chile;Europa Des.;Europa Eme.;Europa Front.;Latam Eme.;Latam Front.;M. Oriente Eme.;M. Oriente Front.;N/A;Norteamerica;OceanÃ­a;apac_(ex_japan)_fi;australia_&_new_zealand;azerbaijan;cash/equiv;cash_&_forwards;emerging_market_fi;europe_eq;europe_fi;faroe_islands;honduras;mexice;middle_east_&_africa;north_america_fi;otros;peopleã¢â¬â¢s_republic_of_china;technology;tãâ¼rkiye;uzbekistan;world
BRZU.K;0,0;0,0;0,0;0,0;0,0;0,0;0,72;0,0;0,0;48,54;0,0;0,0;0,0;0,0;34,43;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;16,31;0,0;0,0;0,0;0,0;0,0
BUG.O;0,0;0,0;22,6032;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;77,3968;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
CAHUSA.S;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;100,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
CANCDA.S;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;100,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
CFINASDAQ.SN;0,0;0,0;0,0;0,0;0,0;0,0;3,75;0,0;0,0;0,0;0,55;0,0;0,0;0,0;95,58;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,12;0,0;0,0;0,0;0,0;0,0
CGW;0,0;0,0;3,25;2,6100000000000003;0,0;0,0;25,41;0,0;0,0;10,02;0,0;0,0;0,0;0,0;55,87;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;2,84;0,0;0,0;0,0;0,0;0,0
CHIQ.K;0,0;0,0;22,0178;67,8232;0,0;0,0;10,009;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,15;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
CIBR.O;0,0;0,0;10,07;7,42;0,0;0,0;4,3100000000000005;0,0;0,0;0,0;0,0;0,0;0,0;0,0;78,17;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,03;0,0;0,0;0,0;0,0;0,0
CLIX.K;0,0;0,0;13,719999999999999;1,48;0,0;0,0;2,27;0,0;0,0;0,0;1,8;0,0;0,0;0,0;70,38;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;10,35;0,0;0,0;0,0;0,0;0,0
CNYA.K;0,0;0,0;0,0;99,68;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,06;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,26;0,0;0,0;0,0;0,0;0,0
